NAMESPACE            NAME                                                              READY   STATUS      RESTARTS        AGE     IP            NODE       NOMINATED NODE   READINESS GATES
hnc-system           hnc-controller-manager-56c97b978d-hlq8k                           2/2     Running     0               3d21h   10.44.0.59    ncn-w003   <none>           <none>
ims                  cray-ims-0ca4b119-c28f-4864-aa64-983e7534992b-customize-l58dl     0/2     Completed   0               15h     10.46.0.32    ncn-w005   <none>           <none>
ims                  cray-ims-0fbd4b2b-07a9-42c2-9c99-862501181867-customize-zg7fj     0/2     Completed   0               14h     10.46.0.11    ncn-w005   <none>           <none>
ims                  cray-ims-19219974-a545-4903-9b31-135ceaa87a57-customize-jrgth     0/2     Completed   0               17h     10.41.0.76    ncn-w004   <none>           <none>
ims                  cray-ims-3a1984a5-274a-4862-8b6f-74c3bb880800-customize-ctvqt     0/2     Completed   0               41h     10.46.0.16    ncn-w005   <none>           <none>
ims                  cray-ims-4c77ef81-f4b9-45d7-a04c-17723823b20c-customize-b9t4z     0/2     Completed   0               16h     10.46.0.16    ncn-w005   <none>           <none>
ims                  cray-ims-61965b4a-5035-4153-94d9-1f9311a1cf9f-customize-25pbm     0/2     Completed   0               36h     10.46.0.15    ncn-w005   <none>           <none>
ims                  cray-ims-66bfdfad-4b28-4f9d-be23-9fb177ef940c-customize-l4565     0/2     Completed   0               38h     10.46.0.11    ncn-w005   <none>           <none>
ims                  cray-ims-70423139-018d-4869-a91b-0fc3d9220c21-customize-jpjf7     0/2     Completed   0               36h     10.46.0.14    ncn-w005   <none>           <none>
ims                  cray-ims-729e8575-ac4d-4e53-94a5-252137ef80ef-customize-v86l5     0/2     Completed   0               14h     10.46.0.32    ncn-w005   <none>           <none>
ims                  cray-ims-88ad4a18-ef77-43df-a7af-ee184fa67dfe-customize-lq98n     0/2     Completed   0               11h     10.46.0.16    ncn-w005   <none>           <none>
ims                  cray-ims-935752c4-4a40-48d0-b1e0-06e048e51eab-customize-vwmtx     0/2     Completed   0               17h     10.46.0.29    ncn-w005   <none>           <none>
ims                  cray-ims-d321ce0a-04db-4fd9-b27b-f9c25f4c8c8a-customize-9k4bp     0/2     Completed   0               12h     10.46.0.15    ncn-w005   <none>           <none>
ims                  cray-ims-d5a02adc-d80e-4292-ad76-d7b3cc84c7b6-customize-m9rw8     0/2     Completed   0               38h     10.46.0.14    ncn-w005   <none>           <none>
ims                  cray-ims-dcde60ad-3267-4ec4-975e-103e51a3b518-customize-fnfhr     0/2     Completed   0               12h     10.46.0.11    ncn-w005   <none>           <none>
istio-operator       istio-operator-5695f4cd46-xp2mn                                   1/1     Running     0               3d21h   10.44.0.53    ncn-w003   <none>           <none>
istio-system         istio-ingressgateway-94df8f964-9xqzs                              1/1     Running     0               3d21h   10.44.0.41    ncn-w003   <none>           <none>
istio-system         istio-ingressgateway-94df8f964-rbfpp                              1/1     Running     0               8d      10.34.0.51    ncn-w002   <none>           <none>
istio-system         istio-ingressgateway-94df8f964-x8cz6                              1/1     Running     0               9d      10.36.0.56    ncn-w001   <none>           <none>
istio-system         istio-ingressgateway-customer-admin-ffc69c5f-b6qh9                1/1     Running     0               9d      10.36.0.37    ncn-w001   <none>           <none>
istio-system         istio-ingressgateway-customer-admin-ffc69c5f-flhqq                1/1     Running     0               8d      10.34.0.35    ncn-w002   <none>           <none>
istio-system         istio-ingressgateway-customer-admin-ffc69c5f-lfp5g                1/1     Running     0               3d21h   10.44.0.62    ncn-w003   <none>           <none>
istio-system         istio-ingressgateway-customer-user-77fbcc86d7-6ft45               1/1     Running     0               9d      10.36.0.51    ncn-w001   <none>           <none>
istio-system         istio-ingressgateway-customer-user-77fbcc86d7-897r5               1/1     Running     0               8d      10.34.0.50    ncn-w002   <none>           <none>
istio-system         istio-ingressgateway-customer-user-77fbcc86d7-k4jht               1/1     Running     0               3d21h   10.44.0.68    ncn-w003   <none>           <none>
istio-system         istio-ingressgateway-hmn-785b96ddb8-44wf8                         1/1     Running     0               3d21h   10.44.0.36    ncn-w003   <none>           <none>
istio-system         istio-ingressgateway-hmn-785b96ddb8-54zzz                         1/1     Running     0               9d      10.36.0.59    ncn-w001   <none>           <none>
istio-system         istio-ingressgateway-hmn-785b96ddb8-8zflc                         1/1     Running     0               8d      10.34.0.58    ncn-w002   <none>           <none>
istio-system         istiod-6bb7bc7fb9-4bp8c                                           1/1     Running     0               8d      10.34.0.34    ncn-w002   <none>           <none>
istio-system         istiod-6bb7bc7fb9-tjw5v                                           1/1     Running     0               8d      10.36.0.74    ncn-w001   <none>           <none>
istio-system         istiod-6bb7bc7fb9-vvcxf                                           1/1     Running     0               3d21h   10.44.0.47    ncn-w003   <none>           <none>
istio-system         kiali-7cf8968ff4-6r2kz                                            1/1     Running     0               3d21h   10.44.0.44    ncn-w003   <none>           <none>
kube-system          coredns-59cc8dbcc8-stch9                                          1/1     Running     0               8d      10.38.0.6     ncn-m002   <none>           <none>
kube-system          coredns-59cc8dbcc8-w7v45                                          1/1     Running     0               12d     10.43.0.9     ncn-m001   <none>           <none>
kube-system          cray-k8s-encryption-49d6x                                         1/1     Running     0               20d     10.43.0.4     ncn-m001   <none>           <none>
kube-system          cray-k8s-encryption-6r875                                         1/1     Running     2 (30m ago)     12d     10.32.0.5     ncn-m003   <none>           <none>
kube-system          cray-k8s-encryption-sfk2x                                         1/1     Running     1 (8d ago)      12d     10.38.0.3     ncn-m002   <none>           <none>
kube-system          kube-apiserver-ncn-m001                                           1/1     Running     0               20d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          kube-apiserver-ncn-m002                                           1/1     Running     1 (8d ago)      12d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          kube-apiserver-ncn-m003                                           1/1     Running     2 (30m ago)     12d     10.252.1.10   ncn-m003   <none>           <none>
kube-system          kube-controller-manager-ncn-m001                                  1/1     Running     2 (8d ago)      20d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          kube-controller-manager-ncn-m002                                  1/1     Running     1 (8d ago)      12d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          kube-controller-manager-ncn-m003                                  1/1     Running     2 (30m ago)     12d     10.252.1.10   ncn-m003   <none>           <none>
kube-system          kube-etcdbackup-28861070-t8snh                                    0/1     Completed   0               9m57s   10.46.0.15    ncn-w005   <none>           <none>
kube-system          kube-multus-ds-4rd57                                              1/1     Running     1 (3d20h ago)   12d     10.252.1.13   ncn-w004   <none>           <none>
kube-system          kube-multus-ds-cc8kk                                              1/1     Running     0               20d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          kube-multus-ds-cfplv                                              1/1     Running     4 (43h ago)     8d      10.252.1.14   ncn-w005   <none>           <none>
kube-system          kube-multus-ds-cjnw7                                              1/1     Running     2 (30m ago)     12d     10.252.1.10   ncn-m003   <none>           <none>
kube-system          kube-multus-ds-gkhzv                                              1/1     Running     1 (10d ago)     12d     10.252.1.9    ncn-w001   <none>           <none>
kube-system          kube-multus-ds-jtkkw                                              1/1     Running     1 (7d23h ago)   12d     10.252.1.7    ncn-w003   <none>           <none>
kube-system          kube-multus-ds-m4889                                              1/1     Running     1 (9d ago)      12d     10.252.1.8    ncn-w002   <none>           <none>
kube-system          kube-multus-ds-nz4sg                                              1/1     Running     1 (8d ago)      12d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          kube-proxy-4nnxp                                                  1/1     Running     1 (8d ago)      12d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          kube-proxy-5wzp2                                                  1/1     Running     1 (10d ago)     12d     10.252.1.9    ncn-w001   <none>           <none>
kube-system          kube-proxy-bhhnm                                                  1/1     Running     1 (3d20h ago)   12d     10.252.1.13   ncn-w004   <none>           <none>
kube-system          kube-proxy-cb496                                                  1/1     Running     1 (7d23h ago)   12d     10.252.1.7    ncn-w003   <none>           <none>
kube-system          kube-proxy-gxncj                                                  1/1     Running     1 (9d ago)      12d     10.252.1.8    ncn-w002   <none>           <none>
