Timestamp: 2024-11-15 10:39:08
NAMESPACE            NAME                                                                  READY   STATUS      RESTARTS        AGE     IP            NODE       NOMINATED NODE   READINESS GATES
dvs                  pod/cray-activemq-artemis-operator-controller-manager-958999f8224qp   2/2     Running     1 (33m ago)     3d22h   10.44.0.48    ncn-w003   <none>           <none>
dvs                  pod/cray-dvs-mqtt-ss-0                                                2/2     Running     0               9d      10.36.0.26    ncn-w001   <none>           <none>
dvs                  pod/cray-dvs-mqtt-ss-1                                                1/2     Running     0               3d20h   10.41.0.43    ncn-w004   <none>           <none>
hnc-system           pod/hnc-controller-manager-56c97b978d-hlq8k                           2/2     Running     0               3d22h   10.44.0.59    ncn-w003   <none>           <none>
ims                  pod/cray-ims-0ca4b119-c28f-4864-aa64-983e7534992b-customize-l58dl     0/2     Completed   0               16h     10.46.0.32    ncn-w005   <none>           <none>
ims                  pod/cray-ims-0fbd4b2b-07a9-42c2-9c99-862501181867-customize-zg7fj     0/2     Completed   0               15h     10.46.0.11    ncn-w005   <none>           <none>
ims                  pod/cray-ims-19219974-a545-4903-9b31-135ceaa87a57-customize-jrgth     0/2     Completed   0               18h     10.41.0.76    ncn-w004   <none>           <none>
ims                  pod/cray-ims-3a1984a5-274a-4862-8b6f-74c3bb880800-customize-ctvqt     0/2     Completed   0               42h     10.46.0.16    ncn-w005   <none>           <none>
ims                  pod/cray-ims-4c77ef81-f4b9-45d7-a04c-17723823b20c-customize-b9t4z     0/2     Completed   0               17h     10.46.0.16    ncn-w005   <none>           <none>
ims                  pod/cray-ims-61965b4a-5035-4153-94d9-1f9311a1cf9f-customize-25pbm     0/2     Completed   0               36h     10.46.0.15    ncn-w005   <none>           <none>
ims                  pod/cray-ims-66bfdfad-4b28-4f9d-be23-9fb177ef940c-customize-l4565     0/2     Completed   0               38h     10.46.0.11    ncn-w005   <none>           <none>
ims                  pod/cray-ims-70423139-018d-4869-a91b-0fc3d9220c21-customize-jpjf7     0/2     Completed   0               37h     10.46.0.14    ncn-w005   <none>           <none>
ims                  pod/cray-ims-729e8575-ac4d-4e53-94a5-252137ef80ef-customize-v86l5     0/2     Completed   0               14h     10.46.0.32    ncn-w005   <none>           <none>
ims                  pod/cray-ims-88ad4a18-ef77-43df-a7af-ee184fa67dfe-customize-lq98n     0/2     Completed   0               11h     10.46.0.16    ncn-w005   <none>           <none>
ims                  pod/cray-ims-935752c4-4a40-48d0-b1e0-06e048e51eab-customize-vwmtx     0/2     Completed   0               18h     10.46.0.29    ncn-w005   <none>           <none>
ims                  pod/cray-ims-d321ce0a-04db-4fd9-b27b-f9c25f4c8c8a-customize-9k4bp     0/2     Completed   0               12h     10.46.0.15    ncn-w005   <none>           <none>
ims                  pod/cray-ims-d5a02adc-d80e-4292-ad76-d7b3cc84c7b6-customize-m9rw8     0/2     Completed   0               39h     10.46.0.14    ncn-w005   <none>           <none>
ims                  pod/cray-ims-dcde60ad-3267-4ec4-975e-103e51a3b518-customize-fnfhr     0/2     Completed   0               13h     10.46.0.11    ncn-w005   <none>           <none>
istio-operator       pod/istio-operator-5695f4cd46-xp2mn                                   1/1     Running     2 (32m ago)     3d22h   10.44.0.53    ncn-w003   <none>           <none>
istio-system         pod/istio-ingressgateway-94df8f964-9xqzs                              1/1     Running     0               3d22h   10.44.0.41    ncn-w003   <none>           <none>
istio-system         pod/istio-ingressgateway-94df8f964-x765h                              1/1     Running     0               26m     10.41.0.82    ncn-w004   <none>           <none>
istio-system         pod/istio-ingressgateway-94df8f964-x8cz6                              1/1     Running     0               9d      10.36.0.56    ncn-w001   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-admin-ffc69c5f-b6qh9                1/1     Running     0               9d      10.36.0.37    ncn-w001   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-admin-ffc69c5f-dn4vk                1/1     Running     0               26m     10.46.0.38    ncn-w005   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-admin-ffc69c5f-lfp5g                1/1     Running     0               3d22h   10.44.0.62    ncn-w003   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-user-77fbcc86d7-2bpwc               1/1     Running     0               26m     10.41.0.88    ncn-w004   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-user-77fbcc86d7-6ft45               1/1     Running     0               9d      10.36.0.51    ncn-w001   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-user-77fbcc86d7-k4jht               1/1     Running     0               3d22h   10.44.0.68    ncn-w003   <none>           <none>
istio-system         pod/istio-ingressgateway-hmn-785b96ddb8-44wf8                         1/1     Running     0               3d22h   10.44.0.36    ncn-w003   <none>           <none>
istio-system         pod/istio-ingressgateway-hmn-785b96ddb8-54zzz                         1/1     Running     0               9d      10.36.0.59    ncn-w001   <none>           <none>
istio-system         pod/istio-ingressgateway-hmn-785b96ddb8-lhg9k                         1/1     Running     0               26m     10.41.0.90    ncn-w004   <none>           <none>
istio-system         pod/istiod-6bb7bc7fb9-6qtwb                                           1/1     Running     0               4m50s   10.41.0.97    ncn-w004   <none>           <none>
istio-system         pod/istiod-6bb7bc7fb9-mkvdp                                           1/1     Running     0               5m5s    10.34.0.30    ncn-w002   <none>           <none>
istio-system         pod/istiod-6bb7bc7fb9-t75z7                                           1/1     Running     0               31m     10.46.0.11    ncn-w005   <none>           <none>
istio-system         pod/istiod-6bb7bc7fb9-tjw5v                                           1/1     Running     0               8d      10.36.0.74    ncn-w001   <none>           <none>
istio-system         pod/istiod-6bb7bc7fb9-tsjfr                                           1/1     Running     0               4m49s   10.34.0.31    ncn-w002   <none>           <none>
istio-system         pod/istiod-6bb7bc7fb9-vvcxf                                           1/1     Running     0               3d22h   10.44.0.47    ncn-w003   <none>           <none>
istio-system         pod/kiali-7cf8968ff4-6r2kz                                            1/1     Running     0               3d22h   10.44.0.44    ncn-w003   <none>           <none>
kube-system          pod/coredns-59cc8dbcc8-t9d6g                                          1/1     Running     0               26m     10.32.0.7     ncn-m003   <none>           <none>
kube-system          pod/coredns-59cc8dbcc8-w7v45                                          1/1     Running     0               12d     10.43.0.9     ncn-m001   <none>           <none>
kube-system          pod/cray-k8s-encryption-49d6x                                         1/1     Running     0               20d     10.43.0.4     ncn-m001   <none>           <none>
kube-system          pod/cray-k8s-encryption-6r875                                         1/1     Running     2 (69m ago)     12d     10.32.0.5     ncn-m003   <none>           <none>
kube-system          pod/cray-k8s-encryption-sfk2x                                         1/1     Running     2 (9m5s ago)    12d     10.38.0.3     ncn-m002   <none>           <none>
kube-system          pod/kube-apiserver-ncn-m001                                           1/1     Running     0               20d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          pod/kube-apiserver-ncn-m002                                           1/1     Running     2 (9m5s ago)    12d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/kube-apiserver-ncn-m003                                           1/1     Running     2 (69m ago)     12d     10.252.1.10   ncn-m003   <none>           <none>
kube-system          pod/kube-controller-manager-ncn-m001                                  1/1     Running     2 (8d ago)      20d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          pod/kube-controller-manager-ncn-m002                                  1/1     Running     2 (9m5s ago)    12d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/kube-controller-manager-ncn-m003                                  1/1     Running     2 (69m ago)     12d     10.252.1.10   ncn-m003   <none>           <none>
kube-system          pod/kube-etcdbackup-28861110-s6lqp                                    0/1     Completed   0               9m9s    10.41.0.96    ncn-w004   <none>           <none>
kube-system          pod/kube-multus-ds-4rd57                                              1/1     Running     1 (3d21h ago)   12d     10.252.1.13   ncn-w004   <none>           <none>
kube-system          pod/kube-multus-ds-cc8kk                                              1/1     Running     0               20d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          pod/kube-multus-ds-cfplv                                              1/1     Running     4 (44h ago)     8d      10.252.1.14   ncn-w005   <none>           <none>
kube-system          pod/kube-multus-ds-cjnw7                                              1/1     Running     2 (69m ago)     12d     10.252.1.10   ncn-m003   <none>           <none>
kube-system          pod/kube-multus-ds-gkhzv                                              1/1     Running     1 (10d ago)     12d     10.252.1.9    ncn-w001   <none>           <none>
kube-system          pod/kube-multus-ds-jtkkw                                              1/1     Running     1 (8d ago)      12d     10.252.1.7    ncn-w003   <none>           <none>
kube-system          pod/kube-multus-ds-m4889                                              1/1     Running     2 (8m31s ago)   12d     10.252.1.8    ncn-w002   <none>           <none>
kube-system          pod/kube-multus-ds-nz4sg                                              1/1     Running     2 (9m5s ago)    12d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/kube-proxy-4nnxp                                                  1/1     Running     2 (9m5s ago)    12d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/kube-proxy-5wzp2                                                  1/1     Running     1 (10d ago)     12d     10.252.1.9    ncn-w001   <none>           <none>
kube-system          pod/kube-proxy-bhhnm                                                  1/1     Running     1 (3d21h ago)   12d     10.252.1.13   ncn-w004   <none>           <none>
kube-system          pod/kube-proxy-cb496                                                  1/1     Running     1 (8d ago)      12d     10.252.1.7    ncn-w003   <none>           <none>
kube-system          pod/kube-proxy-gxncj                                                  1/1     Running     2 (8m31s ago)   12d     10.252.1.8    ncn-w002   <none>           <none>
kube-system          pod/kube-proxy-lfht9                                                  1/1     Running     0               20d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          pod/kube-proxy-nt289                                                  1/1     Running     4 (44h ago)     8d      10.252.1.14   ncn-w005   <none>           <none>
kube-system          pod/kube-proxy-rllms                                                  1/1     Running     2 (69m ago)     12d     10.252.1.10   ncn-m003   <none>           <none>
kube-system          pod/kube-scheduler-ncn-m001                                           1/1     Running     2 (8d ago)      20d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          pod/kube-scheduler-ncn-m002                                           1/1     Running     2 (9m5s ago)    12d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/kube-scheduler-ncn-m003                                           1/1     Running     2 (69m ago)     12d     10.252.1.10   ncn-m003   <none>           <none>
kube-system          pod/metrics-server-545fcf988f-mmgv4                                   1/1     Running     0               3d22h   10.44.0.64    ncn-w003   <none>           <none>
kube-system          pod/node-problem-detector-4pwct                                       1/1     Running     0               20d     10.43.0.2     ncn-m001   <none>           <none>
kube-system          pod/node-problem-detector-6rd8h                                       1/1     Running     1 (10d ago)     12d     10.36.0.11    ncn-w001   <none>           <none>
kube-system          pod/node-problem-detector-8kzps                                       1/1     Running     2 (69m ago)     12d     10.32.0.6     ncn-m003   <none>           <none>
kube-system          pod/node-problem-detector-gc29x                                       1/1     Running     2 (8m31s ago)   12d     10.34.0.6     ncn-w002   <none>           <none>
kube-system          pod/node-problem-detector-jhtwl                                       1/1     Running     2 (9m5s ago)    12d     10.38.0.1     ncn-m002   <none>           <none>
kube-system          pod/node-problem-detector-kntvd                                       1/1     Running     1 (8d ago)      12d     10.44.0.4     ncn-w003   <none>           <none>
kube-system          pod/node-problem-detector-rr54n                                       1/1     Running     1 (3d21h ago)   12d     10.41.0.2     ncn-w004   <none>           <none>
kube-system          pod/node-problem-detector-xmjz7                                       1/1     Running     4 (44h ago)     8d      10.46.0.20    ncn-w005   <none>           <none>
kube-system          pod/sealed-secrets-685b8dc459-sv8d2                                   1/1     Running     0               3d22h   10.44.0.61    ncn-w003   <none>           <none>
kube-system          pod/weave-net-7pbx9                                                   2/2     Running     3 (8d ago)      12d     10.252.1.7    ncn-w003   <none>           <none>
kube-system          pod/weave-net-dgsml                                                   2/2     Running     11 (44h ago)    12d     10.252.1.14   ncn-w005   <none>           <none>
kube-system          pod/weave-net-f27f9                                                   2/2     Running     2 (3d21h ago)   12d     10.252.1.13   ncn-w004   <none>           <none>
kube-system          pod/weave-net-fcqnz                                                   2/2     Running     6 (8m20s ago)   12d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/weave-net-ksz95                                                   2/2     Running     1 (20d ago)     20d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          pod/weave-net-sbv7r                                                   2/2     Running     5 (8m31s ago)   12d     10.252.1.8    ncn-w002   <none>           <none>
kube-system          pod/weave-net-spkgb                                                   2/2     Running     6 (68m ago)     12d     10.252.1.10   ncn-m003   <none>           <none>
kube-system          pod/weave-net-zntch                                                   2/2     Running     3 (10d ago)     12d     10.252.1.9    ncn-w001   <none>           <none>
kyverno              pod/kyverno-admission-controller-5fb8868644-7gjhd                     1/1     Running     0               3d22h   10.44.0.35    ncn-w003   <none>           <none>
kyverno              pod/kyverno-admission-controller-5fb8868644-8hjmp                     1/1     Running     0               8d      10.36.0.76    ncn-w001   <none>           <none>
kyverno              pod/kyverno-admission-controller-5fb8868644-rsj8m                     1/1     Running     0               26m     10.41.0.86    ncn-w004   <none>           <none>
kyverno              pod/kyverno-background-controller-5bb9c4566d-dj56f                    1/1     Running     0               3d22h   10.44.0.15    ncn-w003   <none>           <none>
kyverno              pod/kyverno-cleanup-admission-reports-28861110-l8797                  0/1     Completed   0               9m9s    10.41.0.92    ncn-w004   <none>           <none>
kyverno              pod/kyverno-cleanup-cluster-admission-reports-28861110-6ftqr          0/1     Completed   0               9m9s    10.41.0.97    ncn-w004   <none>           <none>
kyverno              pod/kyverno-cleanup-controller-5569cb8948-mwpww                       1/1     Running     0               26m     10.41.0.79    ncn-w004   <none>           <none>
kyverno              pod/kyverno-reports-controller-599f875b5b-mn96j                       1/1     Running     2 (32m ago)     3d22h   10.44.0.65    ncn-w003   <none>           <none>
metallb-system       pod/metallb-controller-564f6966f-p4sp4                                1/1     Running     0               3d      10.41.0.49    ncn-w004   <none>           <none>
metallb-system       pod/metallb-speaker-6w8t4                                             1/1     Running     4 (44h ago)     8d      10.252.1.14   ncn-w005   <none>           <none>
metallb-system       pod/metallb-speaker-95n2g                                             1/1     Running     1 (8d ago)      12d     10.252.1.7    ncn-w003   <none>           <none>
metallb-system       pod/metallb-speaker-c2vx4                                             1/1     Running     3 (8m31s ago)   12d     10.252.1.8    ncn-w002   <none>           <none>
metallb-system       pod/metallb-speaker-cdcdv                                             1/1     Running     2 (3d21h ago)   12d     10.252.1.13   ncn-w004   <none>           <none>
metallb-system       pod/metallb-speaker-fq8mh                                             1/1     Running     2 (9m5s ago)    12d     10.252.1.11   ncn-m002   <none>           <none>
metallb-system       pod/metallb-speaker-mlqr4                                             1/1     Running     2 (69m ago)     12d     10.252.1.10   ncn-m003   <none>           <none>
metallb-system       pod/metallb-speaker-nk44l                                             1/1     Running     0               20d     10.252.1.12   ncn-m001   <none>           <none>
metallb-system       pod/metallb-speaker-z6gcb                                             1/1     Running     1 (10d ago)     12d     10.252.1.9    ncn-w001   <none>           <none>
nexus                pod/cray-precache-images-8hdmn                                        1/1     Running     2 (8m31s ago)   12d     10.34.0.9     ncn-w002   <none>           <none>
nexus                pod/cray-precache-images-9xddc                                        1/1     Running     1 (10d ago)     12d     10.36.0.5     ncn-w001   <none>           <none>
nexus                pod/cray-precache-images-gqndd                                        1/1     Running     1 (8d ago)      12d     10.44.0.1     ncn-w003   <none>           <none>
nexus                pod/cray-precache-images-jxv9h                                        1/1     Running     1 (3d21h ago)   12d     10.41.0.1     ncn-w004   <none>           <none>
nexus                pod/cray-precache-images-xtzjk                                        1/1     Running     4 (44h ago)     8d      10.46.0.2     ncn-w005   <none>           <none>
nexus                pod/nexus-84f59cbb6-ndmcw                                             2/2     Running     0               3d      10.41.0.38    ncn-w004   <none>           <none>
opa                  pod/cray-opa-ingressgateway-8pw9f                                     1/1     Running     1 (3d21h ago)   12d     10.41.0.5     ncn-w004   <none>           <none>
opa                  pod/cray-opa-ingressgateway-9qs2m                                     1/1     Running     1 (8d ago)      12d     10.44.0.7     ncn-w003   <none>           <none>
opa                  pod/cray-opa-ingressgateway-customer-admin-bmrht                      1/1     Running     1 (10d ago)     12d     10.36.0.3     ncn-w001   <none>           <none>
opa                  pod/cray-opa-ingressgateway-customer-admin-ggrcp                      1/1     Running     2 (8m31s ago)   12d     10.34.0.5     ncn-w002   <none>           <none>
opa                  pod/cray-opa-ingressgateway-customer-admin-j475x                      1/1     Running     4 (44h ago)     8d      10.46.0.8     ncn-w005   <none>           <none>
opa                  pod/cray-opa-ingressgateway-customer-admin-jcp2r                      1/1     Running     1 (3d21h ago)   12d     10.41.0.6     ncn-w004   <none>           <none>
opa                  pod/cray-opa-ingressgateway-customer-admin-p6psv                      1/1     Running     1 (8d ago)      12d     10.44.0.8     ncn-w003   <none>           <none>
opa                  pod/cray-opa-ingressgateway-customer-user-768w7                       1/1     Running     2 (8m31s ago)   12d     10.34.0.1     ncn-w002   <none>           <none>
opa                  pod/cray-opa-ingressgateway-customer-user-9b4vb                       1/1     Running     1 (8d ago)      12d     10.44.0.5     ncn-w003   <none>           <none>
opa                  pod/cray-opa-ingressgateway-customer-user-glbm7                       1/1     Running     1 (10d ago)     12d     10.36.0.6     ncn-w001   <none>           <none>
opa                  pod/cray-opa-ingressgateway-customer-user-lt5zd                       1/1     Running     4 (44h ago)     8d      10.46.0.4     ncn-w005   <none>           <none>
opa                  pod/cray-opa-ingressgateway-customer-user-rs9m5                       1/1     Running     1 (3d21h ago)   12d     10.41.0.11    ncn-w004   <none>           <none>
opa                  pod/cray-opa-ingressgateway-g9wjv                                     1/1     Running     2 (8m31s ago)   12d     10.34.0.2     ncn-w002   <none>           <none>
opa                  pod/cray-opa-ingressgateway-hhr4p                                     1/1     Running     3 (44h ago)     3d2h    10.46.0.7     ncn-w005   <none>           <none>
opa                  pod/cray-opa-ingressgateway-hmn-2mwmk                                 1/1     Running     1 (8d ago)      12d     10.44.0.11    ncn-w003   <none>           <none>
opa                  pod/cray-opa-ingressgateway-hmn-gd987                                 1/1     Running     4 (44h ago)     8d      10.46.0.12    ncn-w005   <none>           <none>
opa                  pod/cray-opa-ingressgateway-hmn-gj65t                                 1/1     Running     1 (10d ago)     12d     10.36.0.2     ncn-w001   <none>           <none>
opa                  pod/cray-opa-ingressgateway-hmn-gpzjz                                 1/1     Running     1 (3d21h ago)   12d     10.41.0.4     ncn-w004   <none>           <none>
opa                  pod/cray-opa-ingressgateway-hmn-trx9n                                 1/1     Running     2 (8m31s ago)   12d     10.34.0.8     ncn-w002   <none>           <none>
opa                  pod/cray-opa-ingressgateway-sv4zc                                     1/1     Running     1 (10d ago)     12d     10.36.0.10    ncn-w001   <none>           <none>
operators            pod/cray-kiali-kiali-operator-66645594fc-vc9w9                        1/1     Running     0               3d22h   10.44.0.17    ncn-w003   <none>           <none>
