NAMESPACE            NAME                                                                  READY   STATUS      RESTARTS        AGE
istio-system         pod/kiali-7cf8968ff4-lbmn4                                            1/1     Running     0               2d10h
kube-system          pod/coredns-59cc8dbcc8-qm446                                          1/1     Running     0               2d6h
kube-system          pod/coredns-59cc8dbcc8-w7v45                                          1/1     Running     0               2d6h
kube-system          pod/cray-k8s-encryption-49d6x                                         1/1     Running     0               10d
kube-system          pod/cray-k8s-encryption-6r875                                         1/1     Running     0               2d6h
kube-system          pod/cray-k8s-encryption-sfk2x                                         1/1     Running     0               2d6h
kube-system          pod/kube-apiserver-ncn-m001                                           1/1     Running     0               10d
kube-system          pod/kube-apiserver-ncn-m002                                           1/1     Running     0               2d6h
kube-system          pod/kube-apiserver-ncn-m003                                           1/1     Running     0               2d6h
kube-system          pod/kube-controller-manager-ncn-m001                                  1/1     Running     1 (2d6h ago)    10d
kube-system          pod/kube-controller-manager-ncn-m002                                  1/1     Running     0               2d6h
kube-system          pod/kube-controller-manager-ncn-m003                                  1/1     Running     0               2d6h
kube-system          pod/kube-etcdbackup-28846340-tqp45                                    0/1     Completed   0               7m49s
kube-system          pod/kube-multus-ds-4rd57                                              1/1     Running     0               2d10h
kube-system          pod/kube-multus-ds-c9dz2                                              1/1     Running     0               2d8h
kube-system          pod/kube-multus-ds-cc8kk                                              1/1     Running     0               10d
kube-system          pod/kube-multus-ds-cjnw7                                              1/1     Running     0               2d6h
kube-system          pod/kube-multus-ds-gkhzv                                              1/1     Running     0               2d11h
kube-system          pod/kube-multus-ds-jtkkw                                              1/1     Running     0               2d10h
kube-system          pod/kube-multus-ds-m4889                                              1/1     Running     0               2d11h
kube-system          pod/kube-multus-ds-nz4sg                                              1/1     Running     0               2d6h
kube-system          pod/kube-proxy-4nnxp                                                  1/1     Running     0               2d6h
kube-system          pod/kube-proxy-5wzp2                                                  1/1     Running     0               2d11h
kube-system          pod/kube-proxy-bhhnm                                                  1/1     Running     0               2d10h
kube-system          pod/kube-proxy-cb496                                                  1/1     Running     0               2d10h
kube-system          pod/kube-proxy-fxgc6                                                  1/1     Running     0               2d8h
kube-system          pod/kube-proxy-gxncj                                                  1/1     Running     0               2d11h
kube-system          pod/kube-proxy-lfht9                                                  1/1     Running     0               10d
kube-system          pod/kube-proxy-rllms                                                  1/1     Running     0               2d6h
kube-system          pod/kube-scheduler-ncn-m001                                           1/1     Running     1 (2d6h ago)    10d
kube-system          pod/kube-scheduler-ncn-m002                                           1/1     Running     0               2d6h
kube-system          pod/kube-scheduler-ncn-m003                                           1/1     Running     0               2d6h
kube-system          pod/metrics-server-545fcf988f-r4s2t                                   1/1     Running     0               2d10h
kube-system          pod/node-problem-detector-4pwct                                       1/1     Running     0               10d
kube-system          pod/node-problem-detector-6rd8h                                       1/1     Running     0               2d11h
kube-system          pod/node-problem-detector-8kzps                                       1/1     Running     0               2d6h
kube-system          pod/node-problem-detector-gc29x                                       1/1     Running     0               2d11h
kube-system          pod/node-problem-detector-jhtwl                                       1/1     Running     0               2d6h
kube-system          pod/node-problem-detector-kntvd                                       1/1     Running     0               2d10h
