NAMESPACE            NAME                                                              READY   STATUS      RESTARTS        AGE     IP            NODE       NOMINATED NODE   READINESS GATES
hnc-system           hnc-controller-manager-56c97b978d-xkcjk                           2/2     Running     1 (23h ago)     23h     10.41.0.86    ncn-w004   <none>           <none>
istio-operator       istio-operator-5695f4cd46-hstq5                                   1/1     Running     0               23h     10.41.0.100   ncn-w004   <none>           <none>
istio-system         istio-ingressgateway-94df8f964-g77b6                              1/1     Running     0               4d10h   10.41.0.19    ncn-w004   <none>           <none>
istio-system         istio-ingressgateway-94df8f964-kcmdd                              1/1     Running     0               4d10h   10.44.0.29    ncn-w003   <none>           <none>
istio-system         istio-ingressgateway-94df8f964-x8cz6                              1/1     Running     0               23h     10.36.0.56    ncn-w001   <none>           <none>
istio-system         istio-ingressgateway-customer-admin-ffc69c5f-5fksl                1/1     Running     0               4d10h   10.44.0.15    ncn-w003   <none>           <none>
istio-system         istio-ingressgateway-customer-admin-ffc69c5f-b6qh9                1/1     Running     0               23h     10.36.0.37    ncn-w001   <none>           <none>
istio-system         istio-ingressgateway-customer-admin-ffc69c5f-flhqq                1/1     Running     0               16h     10.34.0.35    ncn-w002   <none>           <none>
istio-system         istio-ingressgateway-customer-user-77fbcc86d7-475jz               1/1     Running     0               4d10h   10.44.0.30    ncn-w003   <none>           <none>
istio-system         istio-ingressgateway-customer-user-77fbcc86d7-6ft45               1/1     Running     0               23h     10.36.0.51    ncn-w001   <none>           <none>
istio-system         istio-ingressgateway-customer-user-77fbcc86d7-xv7rc               1/1     Running     0               4d10h   10.41.0.21    ncn-w004   <none>           <none>
istio-system         istio-ingressgateway-hmn-785b96ddb8-54zzz                         1/1     Running     0               23h     10.36.0.59    ncn-w001   <none>           <none>
istio-system         istio-ingressgateway-hmn-785b96ddb8-7t795                         1/1     Running     0               4d10h   10.44.0.27    ncn-w003   <none>           <none>
istio-system         istio-ingressgateway-hmn-785b96ddb8-bdtwv                         1/1     Running     0               4d10h   10.41.0.20    ncn-w004   <none>           <none>
istio-system         istiod-6bb7bc7fb9-4bp8c                                           1/1     Running     0               16h     10.34.0.34    ncn-w002   <none>           <none>
istio-system         istiod-6bb7bc7fb9-7wjk5                                           1/1     Running     0               23h     10.41.0.85    ncn-w004   <none>           <none>
istio-system         istiod-6bb7bc7fb9-bggqx                                           1/1     Running     0               4d10h   10.44.0.33    ncn-w003   <none>           <none>
istio-system         kiali-7cf8968ff4-lbmn4                                            1/1     Running     0               4d10h   10.44.0.52    ncn-w003   <none>           <none>
kube-system          coredns-59cc8dbcc8-qm446                                          1/1     Running     0               4d7h    10.38.0.8     ncn-m002   <none>           <none>
kube-system          coredns-59cc8dbcc8-w7v45                                          1/1     Running     0               4d7h    10.43.0.9     ncn-m001   <none>           <none>
kube-system          cray-k8s-encryption-49d6x                                         1/1     Running     0               12d     10.43.0.4     ncn-m001   <none>           <none>
kube-system          cray-k8s-encryption-6r875                                         1/1     Running     1 (10h ago)     4d7h    10.32.0.5     ncn-m003   <none>           <none>
kube-system          cray-k8s-encryption-sfk2x                                         1/1     Running     0               4d7h    10.38.0.3     ncn-m002   <none>           <none>
kube-system          kube-apiserver-ncn-m001                                           1/1     Running     0               12d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          kube-apiserver-ncn-m002                                           1/1     Running     0               4d7h    10.252.1.11   ncn-m002   <none>           <none>
kube-system          kube-apiserver-ncn-m003                                           1/1     Running     1 (10h ago)     4d7h    10.252.1.10   ncn-m003   <none>           <none>
kube-system          kube-controller-manager-ncn-m001                                  1/1     Running     1 (4d7h ago)    12d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          kube-controller-manager-ncn-m002                                  1/1     Running     0               4d7h    10.252.1.11   ncn-m002   <none>           <none>
kube-system          kube-controller-manager-ncn-m003                                  1/1     Running     1 (10h ago)     4d7h    10.252.1.10   ncn-m003   <none>           <none>
kube-system          kube-etcdbackup-28849250-7g286                                    0/1     Completed   0               6m56s   10.46.0.15    ncn-w005   <none>           <none>
kube-system          kube-multus-ds-4rd57                                              1/1     Running     0               4d10h   10.252.1.13   ncn-w004   <none>           <none>
kube-system          kube-multus-ds-cc8kk                                              1/1     Running     0               12d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          kube-multus-ds-cfplv                                              1/1     Running     0               16h     10.252.1.14   ncn-w005   <none>           <none>
kube-system          kube-multus-ds-cjnw7                                              1/1     Running     1 (10h ago)     4d7h    10.252.1.10   ncn-m003   <none>           <none>
kube-system          kube-multus-ds-gkhzv                                              1/1     Running     1 (45h ago)     4d12h   10.252.1.9    ncn-w001   <none>           <none>
kube-system          kube-multus-ds-jtkkw                                              1/1     Running     0               4d11h   10.252.1.7    ncn-w003   <none>           <none>
kube-system          kube-multus-ds-m4889                                              1/1     Running     1 (22h ago)     4d11h   10.252.1.8    ncn-w002   <none>           <none>
kube-system          kube-multus-ds-nz4sg                                              1/1     Running     0               4d7h    10.252.1.11   ncn-m002   <none>           <none>
kube-system          kube-proxy-4nnxp                                                  1/1     Running     0               4d7h    10.252.1.11   ncn-m002   <none>           <none>
kube-system          kube-proxy-5wzp2                                                  1/1     Running     1 (45h ago)     4d12h   10.252.1.9    ncn-w001   <none>           <none>
kube-system          kube-proxy-bhhnm                                                  1/1     Running     0               4d10h   10.252.1.13   ncn-w004   <none>           <none>
kube-system          kube-proxy-cb496                                                  1/1     Running     0               4d11h   10.252.1.7    ncn-w003   <none>           <none>
kube-system          kube-proxy-gxncj                                                  1/1     Running     1 (22h ago)     4d11h   10.252.1.8    ncn-w002   <none>           <none>
kube-system          kube-proxy-lfht9                                                  1/1     Running     0               12d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          kube-proxy-nt289                                                  1/1     Running     0               16h     10.252.1.14   ncn-w005   <none>           <none>
kube-system          kube-proxy-rllms                                                  1/1     Running     1 (10h ago)     4d7h    10.252.1.10   ncn-m003   <none>           <none>
kube-system          kube-scheduler-ncn-m001                                           1/1     Running     1 (4d7h ago)    12d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          kube-scheduler-ncn-m002                                           1/1     Running     0               4d7h    10.252.1.11   ncn-m002   <none>           <none>
kube-system          kube-scheduler-ncn-m003                                           1/1     Running     1 (10h ago)     4d7h    10.252.1.10   ncn-m003   <none>           <none>
kube-system          metrics-server-545fcf988f-r4s2t                                   1/1     Running     0               4d10h   10.44.0.53    ncn-w003   <none>           <none>
kube-system          node-problem-detector-4pwct                                       1/1     Running     0               12d     10.43.0.2     ncn-m001   <none>           <none>
kube-system          node-problem-detector-6rd8h                                       1/1     Running     1 (45h ago)     4d12h   10.36.0.11    ncn-w001   <none>           <none>
kube-system          node-problem-detector-8kzps                                       1/1     Running     1 (10h ago)     4d7h    10.32.0.6     ncn-m003   <none>           <none>
kube-system          node-problem-detector-gc29x                                       1/1     Running     1 (22h ago)     4d11h   10.34.0.6     ncn-w002   <none>           <none>
kube-system          node-problem-detector-jhtwl                                       1/1     Running     0               4d7h    10.38.0.5     ncn-m002   <none>           <none>
kube-system          node-problem-detector-kntvd                                       1/1     Running     0               4d11h   10.44.0.5     ncn-w003   <none>           <none>
kube-system          node-problem-detector-rr54n                                       1/1     Running     0               4d10h   10.41.0.2     ncn-w004   <none>           <none>
kube-system          node-problem-detector-xmjz7                                       1/1     Running     0               16h     10.46.0.2     ncn-w005   <none>           <none>
kube-system          sealed-secrets-685b8dc459-jzjgx                                   1/1     Running     0               23h     10.41.0.87    ncn-w004   <none>           <none>
kube-system          weave-net-7pbx9                                                   2/2     Running     1 (4d11h ago)   4d11h   10.252.1.7    ncn-w003   <none>           <none>
