argo                 cray-iuf-metacontroller-helm-1                                    2/2     Terminating   1 (3d12h ago)   3d12h   10.35.0.21    ncn-w002   <none>           <none>
services             cray-capmc-6c5d69f685-wlgr2                                       2/2     Terminating   0               3d12h   10.35.0.41    ncn-w002   <none>           <none>
services             cray-cfs-api-557fb98d57-54728                                     2/2     Terminating   8 (24h ago)     3d12h   10.35.0.86    ncn-w002   <none>           <none>
services             cray-cfs-batcher-6c66f6887-4rfr5                                  2/2     Terminating   0               3d12h   10.35.0.74    ncn-w002   <none>           <none>
services             cray-console-data-bbff78774-2jp6w                                 2/2     Terminating   0               3d12h   10.35.0.83    ncn-w002   <none>           <none>
services             cray-cps-5684977999-8j6jm                                         2/2     Terminating   0               3d12h   10.35.0.90    ncn-w002   <none>           <none>
services             cray-dhcp-kea-56c5bb5789-xjvwq                                    3/3     Terminating   4 (24h ago)     3d12h   10.35.0.43    ncn-w002   <none>           <none>
services             cray-dns-unbound-79b56d4645-4xd9z                                 3/3     Terminating   0               3d12h   10.35.0.22    ncn-w002   <none>           <none>
services             cray-externaldns-external-dns-688c68fb58-tkg7h                    1/1     Terminating   5 (3d8h ago)    3d12h   10.35.0.80    ncn-w002   <none>           <none>
services             cray-fas-bitnami-etcd-1                                           2/2     Terminating   0               3d12h   10.35.0.29    ncn-w002   <none>           <none>
services             cray-hbtd-55fb95cc7b-njsqf                                        2/2     Terminating   0               3d12h   10.35.0.23    ncn-w002   <none>           <none>
services             cray-hbtd-bitnami-etcd-1                                          2/2     Terminating   0               3d12h   10.35.0.32    ncn-w002   <none>           <none>
services             cray-hmnfd-747b78f958-jj27k                                       2/2     Terminating   0               3d12h   10.35.0.24    ncn-w002   <none>           <none>
services             cray-hmnfd-bitnami-etcd-1                                         2/2     Terminating   0               3d12h   10.35.0.30    ncn-w002   <none>           <none>
services             cray-hms-hmcollector-ingress-7c5bb55c74-njsf4                     2/2     Terminating   0               3d12h   10.35.0.46    ncn-w002   <none>           <none>
services             cray-meds-85d8955fb5-qt58c                                        2/2     Terminating   0               3d12h   10.35.0.89    ncn-w002   <none>           <none>
services             cray-node-labels-6c7cc4c5f8-cqfdv                                 2/2     Terminating   0               3d12h   10.35.0.88    ncn-w002   <none>           <none>
services             cray-oauth2-proxies-customer-high-speed-ingress-79cb9bd5795vqxx   1/1     Terminating   0               3d12h   10.35.0.81    ncn-w002   <none>           <none>
services             cray-oauth2-proxies-customer-management-ingress-c6c64ddfb-td79s   1/1     Terminating   0               3d12h   10.35.0.87    ncn-w002   <none>           <none>
services             cray-power-control-6f9869d68-ljmdt                                2/2     Terminating   0               3d12h   10.35.0.25    ncn-w002   <none>           <none>
services             cray-power-control-bitnami-etcd-2                                 2/2     Terminating   0               3d12h   10.35.0.31    ncn-w002   <none>           <none>
services             cray-powerdns-manager-6c49966f54-vxf62                            3/3     Terminating   6 (3d11h ago)   3d12h   10.35.0.82    ncn-w002   <none>           <none>
services             cray-scsd-b744ccc54-bq9h2                                         2/2     Terminating   0               3d12h   10.35.0.37    ncn-w002   <none>           <none>
services             cray-sls-9d467b6d6-nvxm7                                          2/2     Terminating   0               3d12h   10.35.0.49    ncn-w002   <none>           <none>
services             cray-sts-6b8bb75c68-mhtjt                                         2/2     Terminating   0               3d12h   10.35.0.48    ncn-w002   <none>           <none>
services             cray-tftp-5d546777c9-fdmvg                                        1/1     Terminating   0               3d12h   10.35.0.19    ncn-w002   <none>           <none>
services             cray-vpa-updater-6f7bb8dcf5-2lmg9                                 2/2     Terminating   1 (3d8h ago)    3d12h   10.35.0.79    ncn-w002   <none>           <none>
services             etcd-backup-restore-75bb5c4694-qk27m                              1/1     Terminating   0               3d12h   10.35.0.44    ncn-w002   <none>           <none>
spire                cray-spire-postgres-pooler-5997f6f6f5-trwx8                       2/2     Terminating   0               3d12h   10.35.0.12    ncn-w002   <none>           <none>
spire                cray-spire-server-2                                               2/2     Terminating   0               3d12h   10.35.0.51    ncn-w002   <none>           <none>
spire                spire-jwks-6fbb5864db-5p45h                                       3/3     Terminating   0               3d12h   10.35.0.28    ncn-w002   <none>           <none>
spire                spire-postgres-pooler-6c97d87dd5-xpkj7                            2/2     Terminating   0               3d12h   10.35.0.14    ncn-w002   <none>           <none>
spire                spire-server-2                                                    2/2     Terminating   0               3d12h   10.35.0.91    ncn-w002   <none>           <none>
sshot-net-operator   sshot-net-operator-cf49677c5-cms4t                                1/1     Terminating   0               3d12h   10.35.0.68    ncn-w002   <none>           <none>
sysmgmt-health       cray-sysmgmt-health-canu-test-5fc8b5d66c-nrdm4                    2/2     Terminating   0               3d12h   10.35.0.75    ncn-w002   <none>           <none>
sysmgmt-health       cray-sysmgmt-health-grafana-7476fd6654-s6gbl                      3/3     Terminating   0               3d12h   10.35.0.72    ncn-w002   <none>           <none>
sysmgmt-health       cray-sysmgmt-health-logstash-exporter-85bc88574b-8qwr6            1/1     Terminating   0               3d12h   10.35.0.78    ncn-w002   <none>           <none>
sysmgmt-health       cray-sysmgmt-health-redfish-exporter-c4df695db-gdgbx              1/1     Terminating   0               3d12h   10.35.0.50    ncn-w002   <none>           <none>
sysmgmt-health       cray-sysmgmt-health-victoria-metrics-operator-59c8875866-jwwng    1/1     Terminating   2 (3d8h ago)    3d12h   10.35.0.76    ncn-w002   <none>           <none>
sysmgmt-health       vmagent-vms-0-5877fbd5c4-r4gkm                                    2/2     Terminating   0               3d12h   10.35.0.45    ncn-w002   <none>           <none>
sysmgmt-health       vminsert-vms-cd9d4f894-6jppr                                      1/1     Terminating   0               3d12h   10.35.0.47    ncn-w002   <none>           <none>
sysmgmt-health       vmselect-vms-0                                                    1/1     Terminating   0               3d12h   10.35.0.92    ncn-w002   <none>           <none>
sysmgmt-health       vmstorage-vms-0                                                   1/1     Terminating   0               3d12h   10.35.0.93    ncn-w002   <none>           <none>
vault                cray-vault-1                                                      5/5     Terminating   0               3d12h   10.35.0.53    ncn-w002   <none>           <none>
vault                cray-vault-configurer-7b6f84b7df-mvg24                            2/2     Terminating   0               3d12h   10.35.0.84    ncn-w002   <none>           <none>
vault                cray-vault-operator-57cc597f8d-fntrq                              2/2     Terminating   2 (3d8h ago)    3d12h   10.35.0.42    ncn-w002   <none>           <none>
