NAMESPACE            NAME                                                                  READY   STATUS      RESTARTS        AGE     IP            NODE       NOMINATED NODE   READINESS GATES
istio-system         pod/istio-ingressgateway-customer-admin-ffc69c5f-b6qh9                1/1     Running     0               7d7h    10.36.0.37    ncn-w001   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-admin-ffc69c5f-flhqq                1/1     Running     0               7d      10.34.0.35    ncn-w002   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-admin-ffc69c5f-lfp5g                1/1     Running     0               2d1h    10.44.0.62    ncn-w003   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-user-77fbcc86d7-6ft45               1/1     Running     0               7d7h    10.36.0.51    ncn-w001   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-user-77fbcc86d7-897r5               1/1     Running     0               6d3h    10.34.0.50    ncn-w002   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-user-77fbcc86d7-k4jht               1/1     Running     0               2d1h    10.44.0.68    ncn-w003   <none>           <none>
istio-system         pod/istio-ingressgateway-hmn-785b96ddb8-44wf8                         1/1     Running     0               2d1h    10.44.0.36    ncn-w003   <none>           <none>
istio-system         pod/istio-ingressgateway-hmn-785b96ddb8-54zzz                         1/1     Running     0               7d7h    10.36.0.59    ncn-w001   <none>           <none>
istio-system         pod/istio-ingressgateway-hmn-785b96ddb8-8zflc                         1/1     Running     0               6d3h    10.34.0.58    ncn-w002   <none>           <none>
istio-system         pod/istiod-6bb7bc7fb9-4bp8c                                           1/1     Running     0               7d      10.34.0.34    ncn-w002   <none>           <none>
istio-system         pod/istiod-6bb7bc7fb9-tjw5v                                           1/1     Running     0               6d3h    10.36.0.74    ncn-w001   <none>           <none>
istio-system         pod/istiod-6bb7bc7fb9-vvcxf                                           1/1     Running     0               2d1h    10.44.0.47    ncn-w003   <none>           <none>
istio-system         pod/kiali-7cf8968ff4-6r2kz                                            1/1     Running     0               2d1h    10.44.0.44    ncn-w003   <none>           <none>
kube-system          pod/coredns-59cc8dbcc8-stch9                                          1/1     Running     0               6d3h    10.38.0.6     ncn-m002   <none>           <none>
kube-system          pod/coredns-59cc8dbcc8-w7v45                                          1/1     Running     0               10d     10.43.0.9     ncn-m001   <none>           <none>
kube-system          pod/cray-k8s-encryption-49d6x                                         1/1     Running     0               19d     10.43.0.4     ncn-m001   <none>           <none>
kube-system          pod/cray-k8s-encryption-6r875                                         1/1     Running     1 (6d19h ago)   10d     10.32.0.5     ncn-m003   <none>           <none>
kube-system          pod/cray-k8s-encryption-sfk2x                                         1/1     Running     1 (6d7h ago)    10d     10.38.0.3     ncn-m002   <none>           <none>
kube-system          pod/kube-apiserver-ncn-m001                                           1/1     Running     0               19d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          pod/kube-apiserver-ncn-m002                                           1/1     Running     1 (6d7h ago)    10d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/kube-apiserver-ncn-m003                                           1/1     Running     1 (6d19h ago)   10d     10.252.1.10   ncn-m003   <none>           <none>
kube-system          pod/kube-controller-manager-ncn-m001                                  1/1     Running     2 (6d8h ago)    19d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          pod/kube-controller-manager-ncn-m002                                  1/1     Running     1 (6d7h ago)    10d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/kube-controller-manager-ncn-m003                                  1/1     Running     1 (6d19h ago)   10d     10.252.1.10   ncn-m003   <none>           <none>
kube-system          pod/kube-etcdbackup-28858390-prn4q                                    0/1     Completed   0               7m35s   10.46.0.29    ncn-w005   <none>           <none>
kube-system          pod/kube-multus-ds-4rd57                                              1/1     Running     1 (47h ago)     10d     10.252.1.13   ncn-w004   <none>           <none>
kube-system          pod/kube-multus-ds-cc8kk                                              1/1     Running     0               19d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          pod/kube-multus-ds-cfplv                                              1/1     Running     3 (87m ago)     7d      10.252.1.14   ncn-w005   <none>           <none>
kube-system          pod/kube-multus-ds-cjnw7                                              1/1     Running     1 (6d19h ago)   10d     10.252.1.10   ncn-m003   <none>           <none>
kube-system          pod/kube-multus-ds-gkhzv                                              1/1     Running     1 (8d ago)      10d     10.252.1.9    ncn-w001   <none>           <none>
kube-system          pod/kube-multus-ds-jtkkw                                              1/1     Running     1 (6d2h ago)    10d     10.252.1.7    ncn-w003   <none>           <none>
kube-system          pod/kube-multus-ds-m4889                                              1/1     Running     1 (7d6h ago)    10d     10.252.1.8    ncn-w002   <none>           <none>
kube-system          pod/kube-multus-ds-nz4sg                                              1/1     Running     1 (6d7h ago)    10d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/kube-proxy-4nnxp                                                  1/1     Running     1 (6d7h ago)    10d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/kube-proxy-5wzp2                                                  1/1     Running     1 (8d ago)      10d     10.252.1.9    ncn-w001   <none>           <none>
kube-system          pod/kube-proxy-bhhnm                                                  1/1     Running     1 (47h ago)     10d     10.252.1.13   ncn-w004   <none>           <none>
kube-system          pod/kube-proxy-cb496                                                  1/1     Running     1 (6d2h ago)    10d     10.252.1.7    ncn-w003   <none>           <none>
kube-system          pod/kube-proxy-gxncj                                                  1/1     Running     1 (7d6h ago)    10d     10.252.1.8    ncn-w002   <none>           <none>
kube-system          pod/kube-proxy-lfht9                                                  1/1     Running     0               19d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          pod/kube-proxy-nt289                                                  1/1     Running     3 (87m ago)     7d      10.252.1.14   ncn-w005   <none>           <none>
kube-system          pod/kube-proxy-rllms                                                  1/1     Running     1 (6d19h ago)   10d     10.252.1.10   ncn-m003   <none>           <none>
kube-system          pod/kube-scheduler-ncn-m001                                           1/1     Running     2 (6d8h ago)    19d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          pod/kube-scheduler-ncn-m002                                           1/1     Running     1 (6d7h ago)    10d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/kube-scheduler-ncn-m003                                           1/1     Running     1 (6d19h ago)   10d     10.252.1.10   ncn-m003   <none>           <none>
kube-system          pod/metrics-server-545fcf988f-mmgv4                                   1/1     Running     0               2d1h    10.44.0.64    ncn-w003   <none>           <none>
kube-system          pod/node-problem-detector-4pwct                                       1/1     Running     0               19d     10.43.0.2     ncn-m001   <none>           <none>
kube-system          pod/node-problem-detector-6rd8h                                       1/1     Running     1 (8d ago)      10d     10.36.0.11    ncn-w001   <none>           <none>
kube-system          pod/node-problem-detector-8kzps                                       1/1     Running     1 (6d19h ago)   10d     10.32.0.6     ncn-m003   <none>           <none>
kube-system          pod/node-problem-detector-gc29x                                       1/1     Running     1 (7d6h ago)    10d     10.34.0.6     ncn-w002   <none>           <none>
kube-system          pod/node-problem-detector-jhtwl                                       1/1     Running     1 (6d7h ago)    10d     10.38.0.2     ncn-m002   <none>           <none>
kube-system          pod/node-problem-detector-kntvd                                       1/1     Running     1 (6d2h ago)    10d     10.44.0.4     ncn-w003   <none>           <none>
kube-system          pod/node-problem-detector-rr54n                                       1/1     Running     1 (47h ago)     10d     10.41.0.2     ncn-w004   <none>           <none>
kube-system          pod/node-problem-detector-xmjz7                                       1/1     Running     3 (87m ago)     7d      10.46.0.22    ncn-w005   <none>           <none>
kube-system          pod/sealed-secrets-685b8dc459-sv8d2                                   1/1     Running     0               2d1h    10.44.0.61    ncn-w003   <none>           <none>
kube-system          pod/weave-net-7pbx9                                                   2/2     Running     3 (6d2h ago)    10d     10.252.1.7    ncn-w003   <none>           <none>
kube-system          pod/weave-net-dgsml                                                   2/2     Running     9 (87m ago)     10d     10.252.1.14   ncn-w005   <none>           <none>
kube-system          pod/weave-net-f27f9                                                   2/2     Running     2 (47h ago)     10d     10.252.1.13   ncn-w004   <none>           <none>
kube-system          pod/weave-net-fcqnz                                                   2/2     Running     3 (6d7h ago)    10d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/weave-net-ksz95                                                   2/2     Running     1 (19d ago)     19d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          pod/weave-net-sbv7r                                                   2/2     Running     3 (7d6h ago)    10d     10.252.1.8    ncn-w002   <none>           <none>
kube-system          pod/weave-net-spkgb                                                   2/2     Running     3 (6d19h ago)   10d     10.252.1.10   ncn-m003   <none>           <none>
kube-system          pod/weave-net-zntch                                                   2/2     Running     3 (8d ago)      10d     10.252.1.9    ncn-w001   <none>           <none>
kyverno              pod/kyverno-admission-controller-5fb8868644-7gjhd                     1/1     Running     0               2d1h    10.44.0.35    ncn-w003   <none>           <none>
kyverno              pod/kyverno-admission-controller-5fb8868644-8hjmp                     1/1     Running     0               6d3h    10.36.0.76    ncn-w001   <none>           <none>
kyverno              pod/kyverno-admission-controller-5fb8868644-9plms                     1/1     Running     0               7d      10.34.0.27    ncn-w002   <none>           <none>
kyverno              pod/kyverno-background-controller-5bb9c4566d-dj56f                    1/1     Running     0               2d1h    10.44.0.15    ncn-w003   <none>           <none>
kyverno              pod/kyverno-cleanup-admission-reports-28858390-h9fd4                  0/1     Completed   0               7m35s   10.46.0.8     ncn-w005   <none>           <none>
kyverno              pod/kyverno-cleanup-cluster-admission-reports-28858390-fdz85          0/1     Completed   0               7m35s   10.46.0.16    ncn-w005   <none>           <none>
kyverno              pod/kyverno-cleanup-controller-5569cb8948-xfbc9                       1/1     Running     1 (6d8h ago)    7d      10.34.0.24    ncn-w002   <none>           <none>
kyverno              pod/kyverno-reports-controller-599f875b5b-mn96j                       1/1     Running     0               2d1h    10.44.0.65    ncn-w003   <none>           <none>
metallb-system       pod/metallb-controller-564f6966f-p4sp4                                1/1     Running     0               27h     10.41.0.49    ncn-w004   <none>           <none>
metallb-system       pod/metallb-speaker-6w8t4                                             1/1     Running     3 (87m ago)     7d      10.252.1.14   ncn-w005   <none>           <none>
metallb-system       pod/metallb-speaker-95n2g                                             1/1     Running     1 (6d2h ago)    10d     10.252.1.7    ncn-w003   <none>           <none>
metallb-system       pod/metallb-speaker-c2vx4                                             1/1     Running     2 (7d6h ago)    10d     10.252.1.8    ncn-w002   <none>           <none>
metallb-system       pod/metallb-speaker-cdcdv                                             1/1     Running     2 (47h ago)     10d     10.252.1.13   ncn-w004   <none>           <none>
metallb-system       pod/metallb-speaker-fq8mh                                             1/1     Running     1 (6d7h ago)    10d     10.252.1.11   ncn-m002   <none>           <none>
metallb-system       pod/metallb-speaker-mlqr4                                             1/1     Running     1 (6d19h ago)   10d     10.252.1.10   ncn-m003   <none>           <none>
metallb-system       pod/metallb-speaker-nk44l                                             1/1     Running     0               19d     10.252.1.12   ncn-m001   <none>           <none>
metallb-system       pod/metallb-speaker-z6gcb                                             1/1     Running     1 (8d ago)      10d     10.252.1.9    ncn-w001   <none>           <none>
nexus                pod/cray-precache-images-8hdmn                                        1/1     Running     1 (7d6h ago)    10d     10.34.0.9     ncn-w002   <none>           <none>
nexus                pod/cray-precache-images-9xddc                                        1/1     Running     1 (8d ago)      10d     10.36.0.5     ncn-w001   <none>           <none>
nexus                pod/cray-precache-images-gqndd                                        1/1     Running     1 (6d2h ago)    10d     10.44.0.1     ncn-w003   <none>           <none>
nexus                pod/cray-precache-images-jxv9h                                        1/1     Running     1 (47h ago)     10d     10.41.0.1     ncn-w004   <none>           <none>
nexus                pod/cray-precache-images-xtzjk                                        1/1     Running     3 (87m ago)     7d      10.46.0.2     ncn-w005   <none>           <none>
nexus                pod/nexus-84f59cbb6-ndmcw                                             2/2     Running     0               27h     10.41.0.38    ncn-w004   <none>           <none>
opa                  pod/cray-opa-ingressgateway-8pw9f                                     1/1     Running     1 (47h ago)     10d     10.41.0.5     ncn-w004   <none>           <none>
opa                  pod/cray-opa-ingressgateway-9qs2m                                     1/1     Running     1 (6d2h ago)    10d     10.44.0.7     ncn-w003   <none>           <none>
opa                  pod/cray-opa-ingressgateway-customer-admin-bmrht                      1/1     Running     1 (8d ago)      10d     10.36.0.3     ncn-w001   <none>           <none>
opa                  pod/cray-opa-ingressgateway-customer-admin-ggrcp                      1/1     Running     1 (7d6h ago)    10d     10.34.0.5     ncn-w002   <none>           <none>
opa                  pod/cray-opa-ingressgateway-customer-admin-j475x                      1/1     Running     3 (87m ago)     7d      10.46.0.10    ncn-w005   <none>           <none>
opa                  pod/cray-opa-ingressgateway-customer-admin-jcp2r                      1/1     Running     1 (47h ago)     10d     10.41.0.6     ncn-w004   <none>           <none>
opa                  pod/cray-opa-ingressgateway-customer-admin-p6psv                      1/1     Running     1 (6d2h ago)    10d     10.44.0.8     ncn-w003   <none>           <none>
opa                  pod/cray-opa-ingressgateway-customer-user-768w7                       1/1     Running     1 (7d6h ago)    10d     10.34.0.1     ncn-w002   <none>           <none>
opa                  pod/cray-opa-ingressgateway-customer-user-9b4vb                       1/1     Running     1 (6d2h ago)    10d     10.44.0.5     ncn-w003   <none>           <none>
opa                  pod/cray-opa-ingressgateway-customer-user-glbm7                       1/1     Running     1 (8d ago)      10d     10.36.0.6     ncn-w001   <none>           <none>
opa                  pod/cray-opa-ingressgateway-customer-user-lt5zd                       1/1     Running     3 (87m ago)     7d      10.46.0.12    ncn-w005   <none>           <none>
opa                  pod/cray-opa-ingressgateway-customer-user-rs9m5                       1/1     Running     1 (47h ago)     10d     10.41.0.11    ncn-w004   <none>           <none>
opa                  pod/cray-opa-ingressgateway-g9wjv                                     1/1     Running     1 (7d6h ago)    10d     10.34.0.2     ncn-w002   <none>           <none>
opa                  pod/cray-opa-ingressgateway-hhr4p                                     1/1     Running     2 (87m ago)     29h     10.46.0.7     ncn-w005   <none>           <none>
opa                  pod/cray-opa-ingressgateway-hmn-2mwmk                                 1/1     Running     1 (6d2h ago)    10d     10.44.0.11    ncn-w003   <none>           <none>
opa                  pod/cray-opa-ingressgateway-hmn-gd987                                 1/1     Running     3 (87m ago)     7d      10.46.0.4     ncn-w005   <none>           <none>
opa                  pod/cray-opa-ingressgateway-hmn-gj65t                                 1/1     Running     1 (8d ago)      10d     10.36.0.2     ncn-w001   <none>           <none>
opa                  pod/cray-opa-ingressgateway-hmn-gpzjz                                 1/1     Running     1 (47h ago)     10d     10.41.0.4     ncn-w004   <none>           <none>
opa                  pod/cray-opa-ingressgateway-hmn-trx9n                                 1/1     Running     1 (7d6h ago)    10d     10.34.0.8     ncn-w002   <none>           <none>
opa                  pod/cray-opa-ingressgateway-sv4zc                                     1/1     Running     1 (8d ago)      10d     10.36.0.10    ncn-w001   <none>           <none>
operators            pod/cray-kiali-kiali-operator-66645594fc-vc9w9                        1/1     Running     0               2d1h    10.44.0.17    ncn-w003   <none>           <none>
operators            pod/strimzi-cluster-operator-569c45b5d-5nfx6                          1/1     Running     0               27h     10.41.0.65    ncn-w004   <none>           <none>
pki-operator         pod/trustedcerts-operator-f546977cb-2wzb2                             2/2     Running     3 (2d1h ago)    2d1h    10.44.0.50    ncn-w003   <none>           <none>
pki-operator         pod/trustedcerts-operator-f546977cb-nlv7d                             2/2     Running     1 (7d7h ago)    7d7h    10.36.0.68    ncn-w001   <none>           <none>
pki-operator         pod/trustedcerts-operator-f546977cb-pghxd                             2/2     Running     1 (6d3h ago)    6d3h    10.34.0.53    ncn-w002   <none>           <none>
services             pod/cfs-25ccc2a6-9172-4510-bf66-6f0ae807a363-gh9vs                    0/3     Completed   0               86m     10.46.0.23    ncn-w005   <none>           <none>
services             pod/cfs-89cb8547-b95c-4bd5-89f8-c0f0929c5077-bzwg2                    0/3     Completed   0               47h     10.44.0.18    ncn-w003   <none>           <none>
services             pod/cfs-ara-7f56fdf8b4-k5snh                                          2/2     Running     1 (7d7h ago)    7d7h    10.36.0.47    ncn-w001   <none>           <none>
services             pod/cfs-ara-postgres-0                                                3/3     Running     0               47h     10.41.0.27    ncn-w004   <none>           <none>
services             pod/cfs-ara-postgres-1                                                3/3     Running     0               85m     10.46.0.17    ncn-w005   <none>           <none>
services             pod/cfs-ara-postgres-2                                                3/3     Running     0               7d      10.36.0.73    ncn-w001   <none>           <none>
services             pod/cfs-bc103d36-ce72-4c62-9f30-4444ebe50921-4ztkj                    0/3     Completed   0               25h     10.41.0.76    ncn-w004   <none>           <none>
services             pod/cfs-hwsync-agent-b4b6657d5-w76b2                                  2/2     Running     0               27h     10.41.0.40    ncn-w004   <none>           <none>
services             pod/cfs-trust-68fc9fcdb4-8dc6r                                        2/2     Running     1 (2d1h ago)    2d1h    10.44.0.37    ncn-w003   <none>           <none>
services             pod/cos-config-service-c9b948f98-js22r                                2/2     Running     0               7d7h    10.36.0.38    ncn-w001   <none>           <none>
services             pod/cray-bos-75bb8ddbf9-6m26g                                         2/2     Running     0               7d7h    10.36.0.70    ncn-w001   <none>           <none>
services             pod/cray-bos-75bb8ddbf9-v64zg                                         2/2     Running     0               2d1h    10.44.0.80    ncn-w003   <none>           <none>
services             pod/cray-bos-db-788bcbc84c-xmsm6                                      2/2     Running     0               2d1h    10.44.0.71    ncn-w003   <none>           <none>
services             pod/cray-bos-operator-actual-state-cleanup-576b95fdc6-hxfqr           2/2     Running     0               27h     10.41.0.54    ncn-w004   <none>           <none>
services             pod/cray-bos-operator-configuration-7856b8fc78-798mb                  2/2     Running     0               2d1h    10.44.0.31    ncn-w003   <none>           <none>
services             pod/cray-bos-operator-discovery-59ff8c8554-b8jhc                      2/2     Running     0               2d1h    10.44.0.73    ncn-w003   <none>           <none>
services             pod/cray-bos-operator-power-off-forceful-7d75d64556-rq8hf             2/2     Running     0               2d1h    10.44.0.26    ncn-w003   <none>           <none>
services             pod/cray-bos-operator-power-off-graceful-756657cbfb-wv6pq             2/2     Running     0               2d1h    10.44.0.79    ncn-w003   <none>           <none>
services             pod/cray-bos-operator-power-on-7b8ccc7554-5lzcx                       2/2     Running     0               7d7h    10.36.0.55    ncn-w001   <none>           <none>
services             pod/cray-bos-operator-session-cleanup-6c7448798b-ln96p                2/2     Running     0               7d7h    10.36.0.50    ncn-w001   <none>           <none>
services             pod/cray-bos-operator-session-completion-6576ff58b-9cl49              2/2     Running     0               7d7h    10.36.0.69    ncn-w001   <none>           <none>
services             pod/cray-bos-operator-session-setup-6b9fc44c88-5mq4q                  2/2     Running     0               7d7h    10.36.0.52    ncn-w001   <none>           <none>
services             pod/cray-bos-operator-status-57bc98cb8d-rn7vl                         2/2     Running     0               7d      10.34.0.32    ncn-w002   <none>           <none>
services             pod/cray-bss-79785c6d89-4ws95                                         2/2     Running     0               6d3h    10.34.0.55    ncn-w002   <none>           <none>
services             pod/cray-bss-79785c6d89-dvtgl                                         2/2     Running     0               2d1h    10.44.0.75    ncn-w003   <none>           <none>
services             pod/cray-bss-79785c6d89-twsbv                                         2/2     Running     0               7d7h    10.36.0.46    ncn-w001   <none>           <none>
services             pod/cray-bss-bitnami-etcd-0                                           2/2     Running     0               6d2h    10.44.0.21    ncn-w003   <none>           <none>
services             pod/cray-bss-bitnami-etcd-1                                           2/2     Running     0               7d6h    10.34.0.23    ncn-w002   <none>           <none>
services             pod/cray-bss-bitnami-etcd-2                                           2/2     Running     0               8d      10.36.0.20    ncn-w001   <none>           <none>
services             pod/cray-bss-bitnami-etcd-snapshotter-28858380-qz28m                  0/2     Completed   0               17m     10.46.0.35    ncn-w005   <none>           <none>
services             pod/cray-capmc-6c5d69f685-qcwv8                                       2/2     Running     0               7d7h    10.36.0.45    ncn-w001   <none>           <none>
services             pod/cray-capmc-6c5d69f685-wrtsk                                       2/2     Running     0               2d1h    10.44.0.43    ncn-w003   <none>           <none>
services             pod/cray-capmc-6c5d69f685-z65fj                                       2/2     Running     0               6d3h    10.34.0.60    ncn-w002   <none>           <none>
services             pod/cray-cfs-api-557fb98d57-s2t4t                                     2/2     Running     1 (7d ago)      7d      10.34.0.42    ncn-w002   <none>           <none>
services             pod/cray-cfs-api-557fb98d57-z5tkz                                     2/2     Running     0               6d3h    10.36.0.81    ncn-w001   <none>           <none>
services             pod/cray-cfs-api-db-ff7f66d5d-pnk2d                                   2/2     Running     0               7d      10.34.0.43    ncn-w002   <none>           <none>
services             pod/cray-cfs-batcher-6c66f6887-nkgff                                  2/2     Running     0               2d1h    10.44.0.34    ncn-w003   <none>           <none>
services             pod/cray-cfs-operator-854847c8c-2bqlb                                 2/2     Running     0               27h     10.41.0.53    ncn-w004   <none>           <none>
services             pod/cray-console-data-bbff78774-2hr6d                                 2/2     Running     0               2d1h    10.44.0.77    ncn-w003   <none>           <none>
services             pod/cray-console-data-postgres-0                                      3/3     Running     0               47h     10.44.0.25    ncn-w003   <none>           <none>
