Timestamp: 2024-11-05 06:37:13
NAMESPACE            NAME                                                                  READY   STATUS        RESTARTS        AGE     IP            NODE       NOMINATED NODE   READINESS GATES
cert-manager         pod/cray-certmanager-cert-manager-cainjector-6c7845f6dc-kvpl2         2/2     Running       0               2d12h   10.44.0.23    ncn-w003   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-cainjector-6c7845f6dc-pfnbt         2/2     Running       1 (2d8h ago)    2d13h   10.35.0.52    ncn-w002   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-webhook-57dbbff888-5qcl7            2/2     Running       0               50m     10.46.0.27    ncn-w005   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-webhook-57dbbff888-7qf6d            2/2     Terminating   1 (2d13h ago)   2d13h   10.36.0.15    ncn-w001   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-webhook-57dbbff888-scgs5            2/2     Running       0               2d13h   10.35.0.39    ncn-w002   <none>           <none>
cert-manager         pod/cray-certmanager-cert-manager-webhook-57dbbff888-zx55x            2/2     Running       3 (2d12h ago)   2d12h   10.44.0.47    ncn-w003   <none>           <none>
dvs                  pod/cray-activemq-artemis-operator-controller-manager-958999f8j4x62   2/2     Running       0               50m     10.41.0.80    ncn-w004   <none>           <none>
dvs                  pod/cray-activemq-artemis-operator-controller-manager-958999f8m68qs   2/2     Terminating   2 (2d8h ago)    2d13h   10.36.0.41    ncn-w001   <none>           <none>
dvs                  pod/cray-dvs-mqtt-ss-0                                                2/2     Terminating   0               2d13h   10.36.0.51    ncn-w001   <none>           <none>
dvs                  pod/cray-dvs-mqtt-ss-1                                                2/2     Running       0               2d12h   10.41.0.35    ncn-w004   <none>           <none>
hnc-system           pod/hnc-controller-manager-56c97b978d-f6z2z                           2/2     Running       0               2d12h   10.35.0.71    ncn-w002   <none>           <none>
istio-operator       pod/istio-operator-5695f4cd46-9jzfb                                   1/1     Running       5               2d13h   10.35.0.33    ncn-w002   <none>           <none>
istio-system         pod/istio-ingressgateway-94df8f964-5m4lq                              1/1     Running       0               2d13h   10.35.0.15    ncn-w002   <none>           <none>
istio-system         pod/istio-ingressgateway-94df8f964-g77b6                              1/1     Running       0               2d12h   10.41.0.19    ncn-w004   <none>           <none>
istio-system         pod/istio-ingressgateway-94df8f964-kcmdd                              1/1     Running       0               2d12h   10.44.0.29    ncn-w003   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-admin-ffc69c5f-5fksl                1/1     Running       0               2d12h   10.44.0.15    ncn-w003   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-admin-ffc69c5f-d9chv                1/1     Running       0               50m     10.46.0.26    ncn-w005   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-admin-ffc69c5f-ktzt5                1/1     Terminating   0               2d13h   10.36.0.18    ncn-w001   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-admin-ffc69c5f-z7jc7                1/1     Running       0               2d13h   10.35.0.16    ncn-w002   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-user-77fbcc86d7-475jz               1/1     Running       0               2d12h   10.44.0.30    ncn-w003   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-user-77fbcc86d7-7cnz4               1/1     Running       0               2d13h   10.35.0.17    ncn-w002   <none>           <none>
istio-system         pod/istio-ingressgateway-customer-user-77fbcc86d7-xv7rc               1/1     Running       0               2d12h   10.41.0.21    ncn-w004   <none>           <none>
istio-system         pod/istio-ingressgateway-hmn-785b96ddb8-7t795                         1/1     Running       0               2d12h   10.44.0.27    ncn-w003   <none>           <none>
istio-system         pod/istio-ingressgateway-hmn-785b96ddb8-bdtwv                         1/1     Running       0               2d12h   10.41.0.20    ncn-w004   <none>           <none>
istio-system         pod/istio-ingressgateway-hmn-785b96ddb8-pnn96                         1/1     Running       0               2d13h   10.35.0.18    ncn-w002   <none>           <none>
istio-system         pod/istiod-6bb7bc7fb9-7wrws                                           1/1     Terminating   0               2d12h   10.36.0.58    ncn-w001   <none>           <none>
istio-system         pod/istiod-6bb7bc7fb9-bggqx                                           1/1     Running       0               2d12h   10.44.0.33    ncn-w003   <none>           <none>
istio-system         pod/istiod-6bb7bc7fb9-qnpm6                                           1/1     Running       0               55m     10.46.0.2     ncn-w005   <none>           <none>
istio-system         pod/istiod-6bb7bc7fb9-wd2sj                                           1/1     Running       0               2d13h   10.35.0.54    ncn-w002   <none>           <none>
istio-system         pod/kiali-7cf8968ff4-lbmn4                                            1/1     Running       0               2d12h   10.44.0.52    ncn-w003   <none>           <none>
kube-system          pod/coredns-59cc8dbcc8-qm446                                          1/1     Running       0               2d8h    10.38.0.8     ncn-m002   <none>           <none>
kube-system          pod/coredns-59cc8dbcc8-w7v45                                          1/1     Running       0               2d9h    10.43.0.9     ncn-m001   <none>           <none>
kube-system          pod/cray-k8s-encryption-49d6x                                         1/1     Running       0               10d     10.43.0.4     ncn-m001   <none>           <none>
kube-system          pod/cray-k8s-encryption-6r875                                         1/1     Running       0               2d8h    10.32.0.5     ncn-m003   <none>           <none>
kube-system          pod/cray-k8s-encryption-sfk2x                                         1/1     Running       0               2d8h    10.38.0.3     ncn-m002   <none>           <none>
kube-system          pod/kube-apiserver-ncn-m001                                           1/1     Running       0               10d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          pod/kube-apiserver-ncn-m002                                           1/1     Running       0               2d8h    10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/kube-apiserver-ncn-m003                                           1/1     Running       0               2d8h    10.252.1.10   ncn-m003   <none>           <none>
kube-system          pod/kube-controller-manager-ncn-m001                                  1/1     Running       1 (2d8h ago)    10d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          pod/kube-controller-manager-ncn-m002                                  1/1     Running       0               2d8h    10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/kube-controller-manager-ncn-m003                                  1/1     Running       0               2d8h    10.252.1.10   ncn-m003   <none>           <none>
kube-system          pod/kube-etcdbackup-28846470-wm2hc                                    0/1     Completed     0               7m14s   10.41.0.86    ncn-w004   <none>           <none>
kube-system          pod/kube-multus-ds-4rd57                                              1/1     Running       0               2d12h   10.252.1.13   ncn-w004   <none>           <none>
kube-system          pod/kube-multus-ds-c9dz2                                              1/1     Running       0               2d11h   10.252.1.14   ncn-w005   <none>           <none>
kube-system          pod/kube-multus-ds-cc8kk                                              1/1     Running       0               10d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          pod/kube-multus-ds-cjnw7                                              1/1     Running       0               2d8h    10.252.1.10   ncn-m003   <none>           <none>
kube-system          pod/kube-multus-ds-gkhzv                                              1/1     Running       0               2d13h   10.252.1.9    ncn-w001   <none>           <none>
kube-system          pod/kube-multus-ds-jtkkw                                              1/1     Running       0               2d12h   10.252.1.7    ncn-w003   <none>           <none>
kube-system          pod/kube-multus-ds-m4889                                              1/1     Running       0               2d13h   10.252.1.8    ncn-w002   <none>           <none>
kube-system          pod/kube-multus-ds-nz4sg                                              1/1     Running       0               2d8h    10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/kube-proxy-4nnxp                                                  1/1     Running       0               2d8h    10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/kube-proxy-5wzp2                                                  1/1     Running       0               2d13h   10.252.1.9    ncn-w001   <none>           <none>
kube-system          pod/kube-proxy-bhhnm                                                  1/1     Running       0               2d12h   10.252.1.13   ncn-w004   <none>           <none>
kube-system          pod/kube-proxy-cb496                                                  1/1     Running       0               2d12h   10.252.1.7    ncn-w003   <none>           <none>
kube-system          pod/kube-proxy-fxgc6                                                  1/1     Running       0               2d11h   10.252.1.14   ncn-w005   <none>           <none>
kube-system          pod/kube-proxy-gxncj                                                  1/1     Running       0               2d13h   10.252.1.8    ncn-w002   <none>           <none>
kube-system          pod/kube-proxy-lfht9                                                  1/1     Running       0               10d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          pod/kube-proxy-rllms                                                  1/1     Running       0               2d8h    10.252.1.10   ncn-m003   <none>           <none>
kube-system          pod/kube-scheduler-ncn-m001                                           1/1     Running       1 (2d8h ago)    10d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          pod/kube-scheduler-ncn-m002                                           1/1     Running       0               2d8h    10.252.1.11   ncn-m002   <none>           <none>
kube-system          pod/kube-scheduler-ncn-m003                                           1/1     Running       0               2d8h    10.252.1.10   ncn-m003   <none>           <none>
kube-system          pod/metrics-server-545fcf988f-r4s2t                                   1/1     Running       0               2d12h   10.44.0.53    ncn-w003   <none>           <none>
kube-system          pod/node-problem-detector-4pwct                                       1/1     Running       0               10d     10.43.0.2     ncn-m001   <none>           <none>
kube-system          pod/node-problem-detector-6rd8h                                       1/1     Running       0               2d13h   10.36.0.11    ncn-w001   <none>           <none>
kube-system          pod/node-problem-detector-8kzps                                       1/1     Running       0               2d8h    10.32.0.6     ncn-m003   <none>           <none>
kube-system          pod/node-problem-detector-gc29x                                       1/1     Running       0               2d13h   10.35.0.4     ncn-w002   <none>           <none>
kube-system          pod/node-problem-detector-jhtwl                                       1/1     Running       0               2d8h    10.38.0.5     ncn-m002   <none>           <none>
kube-system          pod/node-problem-detector-kntvd                                       1/1     Running       0               2d12h   10.44.0.5     ncn-w003   <none>           <none>
kube-system          pod/node-problem-detector-rl8wz                                       1/1     Running       0               2d11h   10.46.0.4     ncn-w005   <none>           <none>
kube-system          pod/node-problem-detector-rr54n                                       1/1     Running       0               2d12h   10.41.0.2     ncn-w004   <none>           <none>
kube-system          pod/sealed-secrets-685b8dc459-krfwp                                   1/1     Running       0               2d13h   10.35.0.34    ncn-w002   <none>           <none>
kube-system          pod/weave-net-7pbx9                                                   2/2     Running       1 (2d12h ago)   2d12h   10.252.1.7    ncn-w003   <none>           <none>
kube-system          pod/weave-net-dgsml                                                   2/2     Running       0               2d11h   10.252.1.14   ncn-w005   <none>           <none>
kube-system          pod/weave-net-f27f9                                                   2/2     Running       0               2d12h   10.252.1.13   ncn-w004   <none>           <none>
